president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Adults,PureSpectrum,,4/10/2025,6/5/2025,30967.0, A,1.610263,0.0,,37.1,47.7,-10.6,39.18183,48.87037,-9.688538,https://www.chip50.org/blog/whose-approval-disapproval-of-trump-shifted-the-most,6/5/2025,10:01:12 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,5/30/2025,6/5/2025,1500.0, LV,0.3393338,0.0,True,50.0,49.0,1.0,46.44522,50.81617,-4.370949,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,6/5/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,PureSpectrum,,4/10/2025,6/5/2025,30967.0, A,1.610263,0.0,,18.0,36.0,-18.0,21.6217,38.07861,-16.45691,https://www.chip50.org/blog/whose-approval-disapproval-of-trump-shifted-the-most,6/5/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),All polls,PureSpectrum,,4/10/2025,6/5/2025,30967.0, A,1.610263,0.0,,37.1,47.7,-10.6,39.87587,48.79836,-8.922489,https://www.chip50.org/blog/whose-approval-disapproval-of-trump-shifted-the-most,6/5/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,5/30/2025,6/5/2025,1500.0, LV,0.3393338,0.0,True,50.0,49.0,1.0,47.25449,50.54536,-3.290871,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,6/5/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Voters,OH Predictive Insights,Center Square,6/1/2026,6/4/2026,2585.0, RV,1.67526,0.0,,40.0,58.0,-18.0,39.42212,58.29435,-18.87223,https://www.thecentersquare.com/national/article_068f34af-cac1-4328-b582-915d04044322.html,6/4/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Weak,Rasmussen Reports,,5/29/2026,6/4/2026,1799.0, LV,0.8285932,0.0,,16.0,9.0,7.0,16.93477,9.603076,7.331695,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_may_31_june_4_2026,6/4/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),Weak,RMG Research,Napolitan News Service,5/26/2026,6/4/2026,3000.0, RV,0.8068048,0.0,,22.0,11.0,11.0,18.39523,10.4334,7.961829,https://napolitannews.org/jobapproval,6/4/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,5/26/2026,6/4/2026,3000.0, RV,0.8068048,0.0,,44.0,55.0,-11.0,39.76892,57.69074,-17.92182,https://napolitannews.org/jobapproval,6/4/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),All polls,OH Predictive Insights,Center Square,6/1/2026,6/4/2026,2585.0, RV,1.67526,0.0,,40.0,58.0,-18.0,38.83679,58.50738,-19.67059,https://www.thecentersquare.com/national/article_068f34af-cac1-4328-b582-915d04044322.html,6/4/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,Rasmussen Reports,,5/29/2026,6/4/2026,1799.0, LV,0.8285932,0.0,,24.0,47.0,-23.0,19.94841,48.51574,-28.56733,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_may_31_june_4_2026,6/4/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,5/29/2026,6/4/2026,1500.0, LV,0.3244787,0.0,True,41.0,57.0,-16.0,37.44522,58.81617,-21.37095,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/4/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,5/26/2026,6/4/2026,3000.0, RV,0.8068048,0.0,,44.0,55.0,-11.0,40.54652,57.42854,-16.88202,https://napolitannews.org/jobapproval,6/4/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,5/29/2026,6/4/2026,1500.0, LV,0.3244787,0.0,True,41.0,57.0,-16.0,38.25449,58.54536,-20.29087,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/4/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Economy,OH Predictive Insights,Center Square,6/1/2026,6/4/2026,2585.0, RV,1.67526,0.0,,37.0,60.0,-23.0,35.55693,60.88053,-25.3236,https://www.thecentersquare.com/national/article_068f34af-cac1-4328-b582-915d04044322.html,6/4/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Strong,RMG Research,Napolitan News Service,5/26/2026,6/4/2026,3000.0, RV,0.8068048,0.0,,22.0,44.0,-22.0,21.62154,47.64091,-26.01937,https://napolitannews.org/jobapproval,6/4/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,5/29/2025,6/4/2025,1500.0, LV,0.1133293,0.0,True,51.0,48.0,3.0,47.44522,49.81617,-2.370949,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,6/4/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,5/29/2025,6/4/2025,1500.0, LV,0.1133293,0.0,True,51.0,48.0,3.0,48.25449,49.54536,-1.290871,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,6/4/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,YouGov,Yahoo News,6/26/2025,6/30/2025,1597.0, A,0.5636362,0.0,,40.0,56.0,-16.0,41.70536,54.78253,-13.07717,https://www.scribd.com/document/883118567/20250701-Yahoo-News-You-Gov-Iran-Tabs,6/30/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Cost,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.9467639,0.0,,35.0,58.0,-23.0,34.84955,58.10873,-23.25918,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:47 12 Jul 2026
Donald Trump (2nd term),Immigration,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.6933242,0.0,,47.0,50.0,-3.0,47.18638,49.85695,-2.67057,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:44 12 Jul 2026
Donald Trump (2nd term),Immigration,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.9467639,0.0,,47.0,50.0,-3.0,47.21992,49.73788,-2.51796,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:44 12 Jul 2026
Donald Trump (2nd term),Voters,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.8754781,0.0,,45.0,53.0,-8.0,45.76133,51.73014,-5.968811,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.8754781,0.0,,45.0,53.0,-8.0,45.15773,51.93161,-6.77388,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Adults,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.5674421,0.0,,42.0,53.0,-11.0,42.14396,52.63005,-10.48609,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:12 12 Jul 2026
Donald Trump (2nd term),Voters,YouGov,Economist,6/27/2025,6/30/2025,1491.0, RV,0.6177159,0.0,,45.0,53.0,-8.0,45.42935,52.07382,-6.644466,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,6/24/2025,6/30/2025,1500.0, LV,0.1057466,0.0,True,51.0,47.0,4.0,47.44522,48.81617,-1.370949,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/30/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Cost,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.6933242,0.0,,35.0,59.0,-24.0,35.45558,58.6594,-23.20382,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:47 12 Jul 2026
Donald Trump (2nd term),Strong,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.5674421,0.0,,24.0,44.0,-20.0,26.2123,43.09587,-16.88357,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Trade,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.8754781,0.0,,34.0,56.0,-22.0,35.15041,55.73276,-20.58235,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:50 12 Jul 2026
Donald Trump (2nd term),Weak,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.5674421,0.0,,18.0,10.0,8.0,17.67801,10.07862,7.599391,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Economy,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.8754781,0.0,,43.0,53.0,-10.0,42.40205,52.51163,-10.10958,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:38 12 Jul 2026
Donald Trump (2nd term),Voters,YouGov,Yahoo News,6/26/2025,6/30/2025,1074.0, RV,0.5421907,0.0,,45.0,54.0,-9.0,45.42935,53.07382,-7.644466,https://www.scribd.com/document/883118567/20250701-Yahoo-News-You-Gov-Iran-Tabs,6/30/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Weak,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.8754781,0.0,,20.0,11.0,9.0,18.35296,10.33308,8.01988,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,6/24/2025,6/30/2025,1500.0, LV,0.1057466,0.0,True,51.0,47.0,4.0,48.25449,48.54536,-0.2908707,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/30/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Strong,YouGov,Yahoo News,6/26/2025,6/30/2025,1597.0, A,0.5636362,0.0,,23.0,47.0,-24.0,25.2123,46.09587,-20.88357,https://www.scribd.com/document/883118567/20250701-Yahoo-News-You-Gov-Iran-Tabs,6/30/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Strong,Schoen Cooperman Research,Israel On Campus Coalition,6/27/2025,6/30/2025,1028.0, A,0.949403,0.0,,29.0,39.0,-10.0,29.98092,40.4592,-10.47828,https://drive.google.com/file/d/1XxbPBwjkAFUid15B1RtiwnOobItnUJBl/view,6/30/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,Schoen Cooperman Research,Israel On Campus Coalition,6/27/2025,6/30/2025,1028.0, A,0.949403,0.0,,18.0,9.0,9.0,16.78452,8.858973,7.925547,https://drive.google.com/file/d/1XxbPBwjkAFUid15B1RtiwnOobItnUJBl/view,6/30/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Weak,YouGov,Yahoo News,6/26/2025,6/30/2025,1597.0, A,0.5636362,0.0,,18.0,9.0,9.0,17.67801,9.078617,8.599394,https://www.scribd.com/document/883118567/20250701-Yahoo-News-You-Gov-Iran-Tabs,6/30/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Adults,YouGov,Yahoo News,6/26/2025,6/30/2025,1597.0, A,0.5636362,0.0,,40.0,56.0,-16.0,40.14396,55.63005,-15.48609,https://www.scribd.com/document/883118567/20250701-Yahoo-News-You-Gov-Iran-Tabs,6/30/2025,10:01:12 12 Jul 2026
Donald Trump (2nd term),Economy,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.6933242,0.0,,43.0,51.0,-8.0,44.13036,51.14878,-7.018421,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:01:38 12 Jul 2026
Donald Trump (2nd term),Adults,Schoen Cooperman Research,Israel On Campus Coalition,6/27/2025,6/30/2025,1028.0, A,0.949403,0.0,,47.0,48.0,-1.0,45.92156,49.36861,-3.447052,https://drive.google.com/file/d/1XxbPBwjkAFUid15B1RtiwnOobItnUJBl/view,6/30/2025,10:01:12 12 Jul 2026
Donald Trump (2nd term),All polls,YouGov,Economist,6/27/2025,6/30/2025,1648.0, A,0.5674421,0.0,,42.0,53.0,-11.0,43.70536,51.78253,-8.077171,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38,6/30/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),All polls,Schoen Cooperman Research,Israel On Campus Coalition,6/27/2025,6/30/2025,1028.0, A,0.949403,0.0,,47.0,48.0,-1.0,46.88473,48.90131,-2.016579,https://drive.google.com/file/d/1XxbPBwjkAFUid15B1RtiwnOobItnUJBl/view,6/30/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,Global Strategy Group/GBAO (Navigator Research),,6/26/2025,6/30/2025,1000.0, RV,0.8754781,0.0,,25.0,42.0,-17.0,26.95589,41.9676,-15.01171,https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570,6/30/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,The Argument/Verasight,,5/29/2026,6/3/2026,3008.0, RV,1.567209,0.0,,18.0,10.0,8.0,17.84071,10.15839,7.68232,https://www.theargumentmag.com/p/the-biggest-issue-in-american-politics,6/3/2026,10:01:30 12 Jul 2026
Donald Trump (2nd term),All polls,The Argument/Verasight,,5/29/2026,6/3/2026,3008.0, RV,1.567209,0.0,,38.0,61.0,-23.0,37.95904,59.99553,-22.03649,https://www.theargumentmag.com/p/the-biggest-issue-in-american-politics,6/3/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,5/28/2026,6/3/2026,1500.0, LV,0.109618,0.0,True,40.0,58.0,-18.0,37.25449,59.54536,-22.29087,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/3/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),Strong,The Argument/Verasight,,5/29/2026,6/3/2026,3008.0, RV,1.567209,0.0,,20.0,51.0,-31.0,20.32009,50.05628,-29.73619,https://www.theargumentmag.com/p/the-biggest-issue-in-american-politics,6/3/2026,10:01:19 12 Jul 2026
Donald Trump (2nd term),Voters,The Argument/Verasight,,5/29/2026,6/3/2026,3008.0, RV,1.567209,0.0,,38.0,61.0,-23.0,38.60046,59.74354,-21.14308,https://www.theargumentmag.com/p/the-biggest-issue-in-american-politics,6/3/2026,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,5/28/2026,6/3/2026,1500.0, LV,0.109618,0.0,True,40.0,58.0,-18.0,36.44522,59.81617,-23.37095,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/3/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,5/28/2025,6/3/2025,1500.0, LV,0.1137005,0.0,True,52.0,47.0,5.0,49.25449,48.54536,0.7091293,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,6/3/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,5/27/2025,6/3/2025,3000.0, RV,0.7642115,0.0,,51.0,46.0,5.0,47.54652,48.42854,-0.882019,https://napolitannews.org/jobapproval,6/3/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,5/27/2025,6/3/2025,3000.0, RV,0.7642115,0.0,,51.0,46.0,5.0,46.76892,48.69074,-1.921818,https://napolitannews.org/jobapproval,6/3/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Trade,RMG Research,Napolitan News Service,6/2/2025,6/3/2025,1000.0, RV,0.8528549,0.0,,48.0,47.0,1.0,45.44546,49.83507,-4.38961,https://napolitannews.org/posts/trump-approval-on-tariffs-hits-highest-level-recorded,6/3/2025,10:01:50 12 Jul 2026
Donald Trump (2nd term),Strong,RMG Research,Napolitan News Service,5/27/2025,6/3/2025,3000.0, RV,0.7642115,0.0,,30.0,35.0,-5.0,29.62154,38.64091,-9.019371,https://napolitannews.org/jobapproval,6/3/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,RMG Research,Napolitan News Service,5/27/2025,6/3/2025,3000.0, RV,0.7642115,0.0,,21.0,11.0,10.0,17.39523,10.4334,6.961829,https://napolitannews.org/jobapproval,6/3/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,5/28/2025,6/3/2025,1500.0, LV,0.1137005,0.0,True,52.0,47.0,5.0,48.44522,48.81617,-0.3709488,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,6/3/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),All polls,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.4055798,0.0,,47.0,50.0,-3.0,45.15903,51.89645,-6.737419,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Weak,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.5484425,0.0,,17.0,8.0,9.0,16.19894,8.344487,7.854453,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Voters,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.5484425,0.0,,47.0,50.0,-3.0,45.6115,51.03628,-5.424782,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Immigration,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.5484425,0.0,,51.0,43.0,8.0,47.55722,48.60173,-1.04451,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:01:44 12 Jul 2026
Donald Trump (2nd term),Strong,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.5484425,0.0,,30.0,42.0,-12.0,29.00387,43.46063,-14.45676,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Trade,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.5484425,0.0,,45.0,47.0,-2.0,40.19113,54.64173,-14.4506,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:01:50 12 Jul 2026
Donald Trump (2nd term),Economy,Morning Consult,,6/27/2025,6/29/2025,2202.0, RV,0.5484425,0.0,,47.0,47.0,0.0,43.7786,52.43021,-8.651611,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,6/29/2025,10:01:38 12 Jul 2026
Donald Trump (2nd term),All polls,TIPP Insights,Issues & Insights,6/26/2025,6/28/2025,1421.0, A,1.608361,0.0,,44.0,45.0,-1.0,44.82404,47.68504,-2.861,https://issuesinsights.com/2025/06/30/trump-clings-to-solid-ratings-for-leadership-despite-dems-ongoing-negative-views-ii-tipp-poll/,6/28/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Adults,TIPP Insights,Issues & Insights,6/26/2025,6/28/2025,1421.0, A,1.664046,0.0,,44.0,45.0,-1.0,43.75515,48.24166,-4.486511,https://issuesinsights.com/2025/06/30/trump-clings-to-solid-ratings-for-leadership-despite-dems-ongoing-negative-views-ii-tipp-poll/,6/28/2025,10:01:12 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,6/23/2025,6/27/2025,1500.0, LV,0.1497534,0.0,True,51.0,48.0,3.0,47.44522,49.81617,-2.370949,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/27/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,6/23/2025,6/27/2025,1500.0, LV,0.1497534,0.0,True,51.0,48.0,3.0,48.25449,49.54536,-1.290871,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/27/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Immigration,Gallup,,6/2/2025,6/26/2025,1402.0, A,1.337839,0.0,,35.0,62.0,-27.0,38.21932,58.06657,-19.84725,https://news.gallup.com/poll/692522/surge-concern-immigration-abated.aspx,6/26/2025,10:01:44 12 Jul 2026
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,6/18/2025,6/26/2025,3000.0, RV,0.9085627,0.0,,51.0,47.0,4.0,46.76892,49.69074,-2.921818,https://napolitannews.org/jobapproval,6/26/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,6/18/2025,6/26/2025,3000.0, RV,0.9085627,0.0,,51.0,47.0,4.0,47.54652,49.42854,-1.882019,https://napolitannews.org/jobapproval,6/26/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),All polls,Targoz Market Research,Overton Insights,6/23/2025,6/26/2025,1200.0, RV,0.951969,0.0,,43.0,54.0,-11.0,43.12818,53.39299,-10.26481,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf,6/26/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,6/20/2025,6/26/2025,1500.0, LV,0.3221292,0.0,True,51.0,48.0,3.0,47.44522,49.81617,-2.370949,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/26/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,Targoz Market Research,Overton Insights,6/23/2025,6/26/2025,1200.0, RV,0.951969,0.0,,23.0,42.0,-19.0,24.60173,42.2439,-17.64217,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf,6/26/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),All polls,The Tyson Group,,6/25/2025,6/26/2025,1027.0, A,1.001435,0.0,,45.0,51.0,-6.0,44.9282,51.06834,-6.140141,https://tysongroup.co/wp-content/uploads/2025/06/June-2025-Issue-Survey.pdf,6/26/2025,10:00:41 12 Jul 2026
Donald Trump (2nd term),Strong,RMG Research,Napolitan News Service,6/18/2025,6/26/2025,3000.0, RV,0.9085627,0.0,,32.0,38.0,-6.0,31.62154,41.64091,-10.01937,https://napolitannews.org/jobapproval,6/26/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Weak,Rasmussen Reports,,6/22/2025,6/26/2025,1961.0, LV,0.868799,0.0,,16.0,8.0,8.0,16.93477,8.603076,8.331695,https://x.com/Rasmussen_Poll/status/1938999360114815096,6/26/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Immigration,The Tyson Group,,6/25/2025,6/26/2025,1027.0, A,1.001435,0.0,,48.0,44.0,4.0,47.27203,45.884,1.388031,https://tysongroup.co/wp-content/uploads/2025/06/June-2025-Issue-Survey.pdf,6/26/2025,10:01:44 12 Jul 2026
Donald Trump (2nd term),Weak,RMG Research,Napolitan News Service,6/18/2025,6/26/2025,3000.0, RV,0.9085627,0.0,,19.0,9.0,10.0,15.39523,8.4334,6.96183,https://napolitannews.org/jobapproval,6/26/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Weak,The Tyson Group,,6/25/2025,6/26/2025,1027.0, A,1.001435,0.0,,20.0,11.0,9.0,19.11176,10.57773,8.534029,https://tysongroup.co/wp-content/uploads/2025/06/June-2025-Issue-Survey.pdf,6/26/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,Rasmussen Reports,,6/22/2025,6/26/2025,1961.0, LV,0.868799,0.0,,35.0,39.0,-4.0,30.94841,40.51574,-9.567329,https://x.com/Rasmussen_Poll/status/1938999360114815096,6/26/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Voters,Targoz Market Research,Overton Insights,6/23/2025,6/26/2025,1200.0, RV,0.951969,0.0,,43.0,54.0,-11.0,43.45429,53.4105,-9.956211,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf,6/26/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Weak,Targoz Market Research,Overton Insights,6/23/2025,6/26/2025,1200.0, RV,0.951969,0.0,,20.0,12.0,8.0,18.68401,11.39119,7.29282,https://overtoninsights.com/wp-content/uploads/2025/07/July-2025-Poll.pdf,6/26/2025,10:01:30 12 Jul 2026
Donald Trump (2nd term),Strong,The Tyson Group,,6/25/2025,6/26/2025,1027.0, A,1.001435,0.0,,25.0,40.0,-15.0,25.89339,40.76973,-14.87634,https://tysongroup.co/wp-content/uploads/2025/06/June-2025-Issue-Survey.pdf,6/26/2025,10:01:19 12 Jul 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,6/20/2025,6/26/2025,1500.0, LV,0.3221292,0.0,True,51.0,48.0,3.0,48.25449,49.54536,-1.290871,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,6/26/2025,10:01:01 12 Jul 2026
Donald Trump (2nd term),Cost,The Tyson Group,,6/25/2025,6/26/2025,1027.0, A,1.001435,0.0,,37.0,53.0,-16.0,36.55941,54.48552,-17.92611,https://tysongroup.co/wp-content/uploads/2025/06/June-2025-Issue-Survey.pdf,6/26/2025,10:01:47 12 Jul 2026
